BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName
002102,"PRIVATE LABEL",CREDIT,STANDARD,"CHINA MERCHANTS BANK",95555,https://english.cmbchina.com,CN,CHN,CHINA
002195,"PRIVATE LABEL",DEBIT,,"CHINA MERCHANTS BANK",95555,https://english.cmbchina.com,CN,CHN,CHINA
002201,"PRIVATE LABEL",DEBIT,,"CHINA MERCHANTS BANK",95555,https://english.cmbchina.com,CN,CHN,CHINA
002239,"PRIVATE LABEL",DEBIT,,"CHINA MERCHANTS BANK",95555,https://english.cmbchina.com,CN,CHN,CHINA
002361,"PRIVATE LABEL",CREDIT,STANDARD,"CHINA MERCHANTS BANK",95555,https://english.cmbchina.com,CN,CHN,CHINA
004078,"PRIVATE LABEL",DEBIT,GIFT,"SHIFT4 PAYMENTS",,,US,USA,"UNITED STATES"
004080,"PRIVATE LABEL",DEBIT,GIFT,"SHIFT4 PAYMENTS",,,US,USA,"UNITED STATES"
007343,"PRIVATE LABEL",DEBIT,,"BANCO PAN",+551732119961,,BR,BRA,BRAZIL
010051,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
010053,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
010108,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
010150,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
010258,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
010300,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
010309,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
011300,"LOCAL BRAND",DEBIT,"PROPRIETARY ATM","BDO UNIBANK, INC.",,,PH,PHL,PHILIPPINES
011301,"LOCAL BRAND",DEBIT,"PROPRIETARY ATM","BDO UNIBANK, INC.",,,PH,PHL,PHILIPPINES
011302,"LOCAL BRAND",DEBIT,"PROPRIETARY ATM","BDO UNIBANK, INC.",,,PH,PHL,PHILIPPINES
011303,"LOCAL BRAND",DEBIT,"PROPRIETARY ATM","BDO UNIBANK, INC.",,,PH,PHL,PHILIPPINES
011304,"LOCAL BRAND",DEBIT,"PROPRIETARY ATM","BDO UNIBANK, INC.",,,PH,PHL,PHILIPPINES
011305,"LOCAL BRAND",DEBIT,"PROPRIETARY ATM","BDO UNIBANK, INC.",,,PH,PHL,PHILIPPINES
011306,"LOCAL BRAND",DEBIT,"PROPRIETARY ATM","BDO UNIBANK, INC.",,,PH,PHL,PHILIPPINES
011308,"LOCAL BRAND",DEBIT,"PROPRIETARY ATM","BDO UNIBANK, INC.",,,PH,PHL,PHILIPPINES
011309,"LOCAL BRAND",DEBIT,"PROPRIETARY ATM","BDO UNIBANK, INC.",,,PH,PHL,PHILIPPINES
012004,"PRIVATE LABEL",DEBIT,,"TBI BANK",,,BG,BGR,BULGARIA
012047,"PRIVATE LABEL",DEBIT,,"BANCO DE CREDITO ARGENTINO",,,AR,ARG,ARGENTINA
020010,"PRIVATE LABEL",DEBIT,,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA",+864006695588,http://www.icbc-ltd.com,CN,CHN,CHINA
020083,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
020084,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
020085,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
020089,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
020202,"PRIVATE LABEL",DEBIT,"INTERNET BANKING CODE CARD","CHINA CONSTRUCTION BANK","(852) 277 95533 OR (852) 317 95533",http://en.ccb.com,CN,CHN,CHINA
021080,"PRIVATE LABEL",DEBIT,,"BANCO PICHINCHA",,,EC,ECU,ECUADOR
021502,"LOCAL BRAND",DEBIT,"PROPRIETARY ATM",,,,PR,PRI,"PUERTO RICO"
022004,"PRIVATE LABEL",DEBIT,,"TBI BANK",,,BG,BGR,BULGARIA
026688,"PRIVATE LABEL",DEBIT,GIFT,"SHIFT4 PAYMENTS",,,US,USA,"UNITED STATES"
030150,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
030190,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
030320,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
030430,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
030439,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
030480,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
030583,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
030589,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
030590,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
030620,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
030670,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
030690,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
030750,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
030830,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
030836,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
030870,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
031040,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
031110,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
031240,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
031260,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
031270,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
031380,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
031580,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
031599,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
031850,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
032004,"PRIVATE LABEL",DEBIT,,"TBI BANK",,,BG,BGR,BULGARIA
032005,"PRIVATE LABEL",DEBIT,,"TBI BANK",,,BG,BGR,BULGARIA
032040,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
032050,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
032115,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
032390,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
032400,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
032420,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
032440,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
032500,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
032630,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
032681,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
032682,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
032685,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
032968,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
033320,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
033870,PAGOBANCOMAT,DEBIT,,,,,IT,ITA,ITALY
